Title,Abstract,Journal,Publishing Date,DOI,Probability of Inclusion
Tailoring LTE-advanced for M2M communication using wireless inband relay node,"Machine-to-Machine (M2M) communication is one of the newest research fields today and is expected to play a vital role in business areas such as e-healthcare, logistics etc. Mobile communication standards, such as Long Term Evolution Advanced (LTE-A) are designed to provide high data rate and broadband services to human-based communication. However, the nature of M2M traffic is different as terminals usually have to transmit small amounts of data infrequently. In this paper, we evaluate an LTE-A Relay Node (RN) based solution to integrate M2M devices into mobile cellular networks. We develop an M2M scenario consisting of both e-healthcare and logistic devices along with normal LTE-A users in our simulation model using OPNET modeler. The simulation results indicate the better performance of LTE-A network if RN is used for the multiplexing and aggregation of M2M data traffic.","Proceedings of World Telecommunications Congress 2014, WTC 2014",2014-01-01,,0.5229252777329864
Central Hospital Location and Distribution Planning Using Integrated K-Means and Vehicle Routing Algorithm in the Healthcare Chain,"A healthcare chain (HC) involves interrelated activities inclusive of medicine manufacturing, storage, and last-mile distribution to drug retailers and users. Major decision-makers in the HC are also interrelated, in which proper management and planning for logistics activities are required to enhance efficiency and effectiveness. In this study, we first investigate the optimal locations of central hospitals using the K-means algorithm at the midstream of the healthcare chain for long-term planning. Next, we assess the distribution plan of medical supplies by integrating the capacitated vehicle routing problem (CVRP) model with a limited time planning horizon, in which the total economic aspect is evaluated for the short-term plan. Then, our integrated framework is applied to a case study of existing hospitals in Thailand to verify and validate model functionalities. We then examine both locational and distribution plans and present our findings using the geographic information system (GIS). The sensitivity analysis is further performed to evaluate the clustering classification scheme for central hospitals and to evaluate the impact on healthcare logistics plans.",Operations and Supply Chain Management,2024-01-01,10.31387/oscm0570429,0.5224352531116653
Goods Moving Robot Prototype Using 3-Wheel Omni-Wheel System,"In light of the recent global crisis, especially the public health emergency, traditional goods distribution systems are vulnerable to inefficiencies and gaps. Therefore, it is important to overcome this deficiency, the need for a solution, namely making technological innovations. To achieve this goal, this research introduces a revolutionary Goods Moving Robot, powered by a 3-Wheel Omni-Wheel System. Leveraging a powerful mathematical framework of kinematic and trigonometric algorithms, these autonomous robots represent a paradigm shift in goods distribution logistics. The research includes a thorough examination of wheel performance, empirical testing, and analytical models, which reveal strong evidence for the application of robots in various sectors, including healthcare logistics.","ICEEIE 2023 - International Conference on Electrical, Electronics and Information Engineering",2023-01-01,10.1109/ICEEIE59078.2023.10334672,0.5200919561426509
Digital innovation and the future of work,"The concept of digitalization captures the widespread adoption of digital technologies in our lives, in the structure and functioning of organizations and in the transformation of our economy and society. Digital technologies for data processing and communication underly high-impact innovations including the Internet of Things, wireless multimedia, artificial intelligence, big data, enterprise platforms, social networks and blockchain. These digital innovations not only bring new opportunities for prosperity and wellbeing but also affect our behaviors, activities, and daily lives. They enable and shape new forms of production and new working practices in sectors such as manufacturing, healthcare, logistics and supply chains, energy, and public and business services. Digital innovations are not purely technological but form part of comprehensive systemic innovations of a sociotechnical and networked nature, requiring the alignment of technology, processes, organizations, and humans. Examples are platform-based work, customer driven value creating networks, and urban public service systems. Building on widespread networking, algorithmic decisions and sharing of personal data, these innovations raise intensive societal and ethical debates regarding key issues such as data sovereignty and privacy intrusion, business models based on data surveillance and negative externalization, quality of work and jobs, and market dominance versus regulation. In this context, this book focuses on the implications of digitalization for the domain of work. The book studies the changing nature of work as well as new forms of digitally enabled organizations, work practices and cooperation. The book sheds light on the technological, economic, and political forces shaping the new world of work and on the prospects for human-centric and responsible innovations. To this end, the book brings together a number of studies in five major topics: 1. The evolution of digital technology impacting ways of working; 2. The role of artificial intelligence in new ways of working; 3. Transformation of work, jobs and employment; 4. Digitalization and need for skills and competencies; and 5. New forms of decentralized working and cooperation.",Digital Innovation and the Future of Work,2020-11-30,,0.5176505063370687
Emerging Frontiers in Industrial and Systems Engineering: Success Through Collaboration,"Success is driven through collaboration. The field of Industrial and Systems Engineering has evolved as a major engineering field with interdisciplinary strength drawn from effective utilization, process improvement, optimization, design, and management of complex systems. It is a broad discipline that is important to nearly every attempt to solve problems facing the needs of society and the welfare of humanity. In order to carry this forward, successful collaborations are needed between industry, government, and academia. This book brings together an international group of distinguished practitioners and academics in manufacturing, healthcare, logistics, and energy sectors to examine what enables successful collaborations. The book is divided into two key parts: 1) partnerships, frameworks, and leadership; and 2) engineering applications and case studies. Part I highlights some of the ways partnerships emerge between those seeking to innovate and educate in industrial and systems engineering, some useful frameworks and methodologies, as well as some of the ideas and practices that undergird leadership in the profession. Part II provides case studies and applications to illustrate the power of the partnerships between academia and practice in industrial and systems engineering.",Emerging Frontiers in Industrial and Systems Engineering: Success Through Collaboration,2019-06-13,10.1201/9780429488030,0.505288701121915
Robotnik—professional service robotics applications with ROS,"This chapter summarizes our most relevant experiences in the use of ROS in the deployment of Real-World professional service robotics applications: a mobile robot for CBRN interventionmissions, a tunnel inspection and surveillance robot, an upper body torso robot, an indoor healthcare logistic transport robot and a robot for precision viticulture. The chapter describes thementioned projects and how ROS has been used in them. It focuses on the application development, on the ROS modules used and the ROS tools and components applied, and on the lessons learnt in the development process.",Studies in Computational Intelligence,2016-02-01,10.1007/978-3-319-26054-9_10,0.5030999795449336
Future healthcare logistics: a survey of the public opinion on drones in Denmark,"Drones are expected to become widespread in society, making public readiness an important prerequisite for successfully unleashing them. This article investigates Danish citizens’ opinions on drones across varying fields of application and, specif-ically, six potential cases of healthcare logistics. Survey data representative of age, gender, and geography were collected and included information about respondents’ background, knowledge level of drones, and opinions on different drone use cases. Data were analysed with frequency tables and bivariate cross-tabulation. A thousand and four Danish adults completed the survey. Although other fields of application received higher levels of support, a majority of the respondents were positive towards using drones for healthcare logistics. Transportation of medicine and blood samples between hospitals were the most accepted healthcare use cases. Support varies across age with the highest support found in the eldest age group. Also, the more citizens report to know about drones, the more they tend to support using them. The results suggest that policymakers and firms must be attentive towards the public opinion on drones and seek insights into what citizens regard as noble purposes of using drones. Moreover, citizens must become more acquainted with drones, as this will likely boost public support.",Drone Systems and Applications,2023-01-01,10.1139/dsa-2022-0050,0.5023367762945431
Impacts of Losses Functions on the Quality of the Ultrasound Image by Using Machine Learning Algorithms,"During last decade, Artificial Intelligence (AI) has been able to reshape our life daily. Different areas were positively impacted by AI such as Healthcare, Logistic, etc. Medical imaging is one of the fields of healthcare in which AI was introduced to solve and overcome different problems. Challenges including image processing, signal processing, and data acquisition. In this paper, we deeply demonstrate the loss function as one of the main parameters that influence the quality of the ultrasound (US) image. Therefore, we introduce the main components of ultrasound systems form end-to-end perspective such as the data acquisition, the signal processing, and the image interpretation. Then, we present the losses functions as a critical performance metrics for the model validation. Metrics such as the Mean Absolute Error (MAE), Cross-Entropy loss function (CE), Dice Similarity Coefficient (DSC), and the Structural Similarity (SSIM). After that we present the adopted CNN model to generate ultrasound image. The excessive simulation results demonstrate that the selection of the loss function provides significant improvement in terms of image quality (e.g., contrast, CNR and SNR). Choosing simple loss functions such as mean square error helps to faster the convergence of the convolution neural network during the training process. However, for image quality enhancement, we propose the combination of different loss functions such structural similarity (SSIM) with Dice Similarity Coefficient (DSC).","2021 IEEE International Conference on Automatic Control and Intelligent Systems, I2CACIS 2021 - Proceedings",2021-06-26,10.1109/I2CACIS52118.2021.9495878,0.49995640323081314
Measuring process performance within healthcare logistics - a decision tool for selecting track and trace technologies,"Monitoring tasks and ascertaining quality of work is difficult in a logistical healthcare process due to cleaning personnel being dispersed throughout the hospital. Performance measurement can support the organization in improving the efficiency and effectiveness of processes and in ensuring quality of work. Data validity is essential for enabling performance measurement, and selecting the right technologies is important to achieve this. A case study of the hospital cleaning process was conducted at a public Danish hospital to develop a framework for assessing technologies in healthcare logistics. A set of decision indicators was identified in the case study to assess technologies based on expected process performance. Two aspects of performance measurement were investigated for the hospital cleaning process: what to measure and how to measure it.",Academy of Strategic Management Journal,2015-01-01,,0.4783291367352815
An integrated drugs logistics management system: A case study in the healthcare sector,"The purpose of this work is to analyse the benefits that the healthcare system may enjoy with the adoption of the latest innovations in drug logistics management. In particular the analysis concerns the adoption of the automated cabinet system, ICT solution implemented by an Italian region, and the main organisational implications connected to the use of such a system. The research questions are: Does the automated cabinet system allow the healthcare system to improve the quality of patient care and reduce costs? If so, what are the most important processes and actors in pharmaceutical logistics innovation, and what is their role? The peculiarities detected by this study confirmed that the drug distribution and consumption system solution adopted by the healthcare company has allowed for large savings in terms of cost containment and the traceability of drugs.",Lecture Notes in Information Systems and Organisation,2016-01-01,10.1007/978-3-319-28907-6_5,0.4732554517393539
Smart objects in healthcare: Impact on clinical logistics,"Hospitals are confronted today with a plethora of approaches for asset management with RFID and WLAN, cooling chain monitoring using sensor networks and RFID, and patient tracking using virtually any existing technology. The downside is that most approaches are not necessarily compatible let alone coordinated. Further, none of the technologies is really integrated into legacy systems or corresponding organizational structures and processes, thus the full power of innovative applications is not utilized. Introducing the concept of smart objects inspired by the Internet of Things can improve the situation by separating the capabilities and functions of an object from the implementing technology such as RFID or WLAN. Wireless tags become interchangeable, and business applications can be built independent from the underlying communication network. Supported by synchronized technological and business developments smart objects have the power to transform a hospital from an agglomeration of technologies into a smart environment.",Critical Issues for the Development of Sustainable E-health Solutions,2012-01-01,10.1007/978-1-4614-1536-7_19,0.4611215214676501
"Prioritizing interdependent drivers of financial, economic, and political risks using a data-driven probabilistic approach","Financial, economic, and political risks pose a significant threat to the development and progress of countries as such risks can impact all spheres of life including education, healthcare, logistics, transportation, and safety among others. Although these risks seem quite distinct, they are mutually influenced by multidimensional interdependent factors such as internal and external conflict, socioeconomic conditions, corruption, law and order, and bureaucratic quality among others. In this paper, we utilize a data-driven approach to explore dependencies among factors influencing financial, economic, and political risks and establish their relative importance in a network setting while capturing the entire distribution of individual factors. A probabilistic network-based model was developed using the data by the International Country Risk Guide, which revealed significant differences between the conventional and the proposed schemes for prioritizing drivers of political, economic, and financial risks. Internal conflict and socioeconomic conditions were considered as the most critical factors in terms of reducing and enhancing the network-wide risk exposure, respectively. The two prioritization schemes relative to the vulnerability and resilience impact of individual factors are not correlated and therefore, policy-makers need to focus on both schemes while developing risk mitigation strategies.",Risk Management,2022-06-01,10.1057/s41283-022-00089-8,0.4598401424267151
Challenges for the Routine Application of Drones in Healthcare: A Scoping Review,"Uncrewed aerial vehicles (UAVs), commonly known as drones, have emerged as transformative tools in the healthcare sector, offering the potential to revolutionize medical logistics, emergency response, and patient care. This scoping review provides a comprehensive exploration of the diverse applications of drones in healthcare, addressing critical gaps in existing literature. While previous reviews have primarily focused on specific facets of drone technology within the medical field, this study offers a holistic perspective, encompassing a wide range of potential healthcare applications. The review categorizes and analyzes the literature according to key domains, including the transport of biomedical goods, automated external defibrillator (AED) delivery, healthcare logistics, air ambulance services, and various other medical applications. It also examines public acceptance and the regulatory framework surrounding medical drone services. Despite advancements, critical knowledge gaps persist, particularly in understanding the intricate interplay between technological challenges, the existing regulatory framework, and societal acceptance. This review highlights the need for the extensive validation of cost-effective business cases, the development of control techniques that can address time and resource savings within the constraints of real-life scenarios, the design of crash-protected containers, and the establishment of corresponding tests and standards to demonstrate their conformity.",Drones,2023-12-01,10.3390/drones7120685,0.45422473009876585
Automation in internal logistics: Strategic and operational challenges,"Automation in internal logistics is an enabler to increase overall competitiveness in an organisation. However, its use is currently limited. The main objective of this paper is to highlight the existing strategic and operational challenges to using and developing automation in internal logistics. A three-phased empirical study has been conducted, including case studies and a survey. The findings reveal a lack of responsibility for, and insight in current state of logistics operations as well as a lack of vision and strategy giving directions for desired future state of operations. In addition, the actual automation projects are hindered by poorly defined and supported processes. It is concluded that functional strategies for internal logistics and automation can give the support needed along with process models for automation projects. The content and application of these strategies and models are suggested. Copyright © 2014 Inderscience Enterprises Ltd.",International Journal of Logistics Systems and Management,2014-01-01,10.1504/IJLSM.2014.063984,0.4539074569143118
Optimization of tag anti-collision algorithm for EPC Gen2 RFID,"The proliferation of the RFID (Radio-Frequency IDentification) technology in the last decade shows its importance as effective solution for a large variety of application scenarios, such as monitoring, homeland security, healthcare, logistic and last but not the least Internet of Things. Actually, an accurate RFID modeling, optimization and performance analysis via simulation is strongly desired. In this paper, the authors propose two innovations of tag anti-collision algorithm in EPC Gen 2 RFID Specification: i. the adaptive management of Q-parameter (to maximize the efficiency of the inventory procedure depending on the tags number) and its communication by a QueryAdjust command, and ii. the muting option, which silences the tags after their identification with the effect of reducing the offered load to the reader after each successful identification.","2014 Euro Med Telco Conference - From Network Infrastructures to Network Fabric: Revolution at the Edges, EMTC 2014",2014-12-23,10.1109/EMTC.2014.6996631,0.45092104358394053
On people and complexity in healthcare service supply,"Healthcare logistics is treated as a fundamentally emergent complex system primarily because a broad range of stakeholders are included. The patient is the primary ""customer"" of the service producers in the supply chain, including the doctors, nurses, medicine and insurance providers, and hospital administrators. Problematic issues regarding healthcare quality that need to be solved or improved are discussed, and suggestions for furthering and accelerating progress are offered. Careful application of information technology in designing appropriate information systems is advocated. Three specific illustrative cases of healthcare services that have been analyzed and assessed are summarized. The overall intent is to motivate creative processes for delivering more efficient and effective healthcare utilizing complex system behaviors and engineering principles, and an ethically-founded worldview.",International Journal of Design and Nature and Ecodynamics,2018-01-01,10.2495/DNE-V13-N3-238-249,0.4452787532699945
The Metaheuristic Optimization Techniques in Text Classification,"Metaheuristic algorithms, inspired by natural phenomena and human-based strategies, offer versatile approaches to navigate diverse search spaces and adapt to dynamic environments. These algorithms, including evolutionary algorithms, swarm intelligence, bio-inspired methods, human-based approaches, and plant-inspired techniques, have found applications across diverse domains such as engineering, finance, healthcare, logistics, and telecommunications. In the text classification domain, metaheuristic techniques have emerged as powerful tools to enhance the accuracy, efficiency, and robustness of classification systems. By optimizing feature subsets, fine-tuning model parameters, and addressing challenges such as feature selection, dimensionality reduction, class imbalance, and noisy data, metaheuristic algorithms provide flexible solutions that adapt to various text datasets and tasks. This review paper comprehensively explores recent advancements in metaheuristic applications in text classification across six categories. From evolutionary-based methods to swarm-based approaches, bio-inspired techniques to physics/chemistry-based strategies, human-based methods to plant-based algorithms, researchers have leveraged diverse metaheuristic techniques to push the boundaries of text classification. Through a systematic analysis of recent research studies, this review provides insights into the strengths, limitations, and future directions of metaheuristic optimization in the context of text classification.",International Journal of Computational and Experimental Science and Engineering,2024-04-29,10.22399/ijcesen.295,0.44225131587955757
"Ethical Dilemmas in the creative, cultural and service industries","Ethical Dilemmas in the Creative, Cultural and Service Industries enhances professional ethical awareness and supports students' development of skills for ethical decision-making in these growing sectors. It focusses on the shaping of personal and professional values, and dealing with the moral and ethical issues that (future) professionals may encounter in practice. Including a multitude of varied and interdisciplinary case studies, this textbook adopts an applied ethical approach which enables the student to combine basic ethical theory with relevant and 'real-life' cases. Major ethical issues such as CSR, ethical leadership, human rights, fraud, employee rights and duties, new technology and (social) entrepreneurship are addressed. This will be invaluable reading for students studying tourism, hospitality, leisure, events, marketing, healthcare, logistics, retail and game development. It will also be a suitable resource for in-company training of practitioners already working in this wide range of domains.","Ethical Dilemmas in the Creative, Cultural and Service Industries",2019-05-22,10.4324/9780429264832,0.434316120647668
Capacity planning in healthcare: Finding solutions for healthy planning in nursing home care,"Matching supply and demand in nursing home practice is not straightforward, as it always takes place within a 'client-care worker-organizational' triangle. This chapter illustrates how data-driven capacity planning can support nursing homes in their search for ways to further increase their efficiency while maintaining an appropriate quality level of care. This is done using a framework based on a four-step approach adopted from workforce management in call centres. In addition, it is also shown that data-driven capacity planning allows for a more evenly spread workload for the care workers.","Integrating the Organization of Health Services, Worker Wellbeing and Quality of Care: Towards Healthy Healthcare",2021-01-25,10.1007/978-3-030-59467-1_8,0.43205071828989683
Internet of Things-robustness and reliability,"Internet of Things (IoT) has a disruptive impact on variety of application domains like healthcare, logistics, transportation, etc., where network-enabled embedded devices work proactively and collaboratively to solve a complex decision-making problem in real time. Many of these applications are business critical, and require the underlying technology to be dependable, that is, it must deliver its service even in the presence of failures. In this chapter we discuss the notion of reliability and recovery oriented systems in general and then explain why this is important for an IoT-based system. We discuss various failure scenarios and reliability challenges that exist at different layers of an IoT-based system. Next, we discuss various failure-prevention and fault-tolerance approaches to make an IoT-based system robust. Energy consumption by IoT devices plays a major role in the overall system reliability. In this chapter we discuss various reliability challenges due to the low-power devices and solutions that have emerged to improve the overall reliability of such devices and the whole system.",Internet of Things: Principles and Paradigms,2016-05-11,10.1016/B978-0-12-805395-9.00011-3,0.4154668388196534
Optimising the booking horizon in healthcare clinics considering no-shows and cancellations,"Patient no-shows and cancellations are a significant problem to healthcare clinics, as they compromise a clinic's efficiency. Therefore, it is important to account for both no-shows and cancellations into the design of appointment systems. To provide additional empirical evidence on no-show and cancellation behaviour, we assess outpatient clinic data from two healthcare providers in the USA and EU: no-show and cancellation rates increase with the scheduling interval, which is the number of days from the appointment creation to the date the appointment is scheduled for. We show the temporal cancellation behaviour for multiple scheduling intervals is bimodally distributed. To improve the efficiency of clinics at a tactical level of control, we determine the optimal booking horizon such that the impact of no-shows and cancellations through high scheduling intervals is minimised, against a cost of rejecting patients. Where the majority of the literature only includes a fixed no-show rate, we include both a cancellation rate and a time-dependent no-show rate. We propose an analytical queuing model with balking and reneging, to determine the optimal booking horizon. Simulation experiments show that the assumptions of this model are viable. Computational results demonstrate general applicability of our model by case studies of two hospitals.",International Journal of Production Research,2022-01-01,10.1080/00207543.2021.1913292,0.4092777269652727
Oral anticoagulant treatment: A cost-benefit study,"More than 1% of the population are on oral anticoagulant treatment (OAT), a figure which is growing by over 10% annually. The demand for the clinical and analytical services necessary for monitoring this treatment requires the assignment of significant economical and healthcare logistic resources. Comparative studies of the multiple control strategies (attending hospital, primary care or self-monitoring) should be set up, and should reflect not only the costs of their performance but also their clinical results, measures such as mortality and morbidity of thrombotic and haemorrhagic episodes that, have occurred and been avoided. During 2003,20,347 patients on OAT were monitored in 4 anticoagulation units of large national hospitals providing healthcare cover to 1,641,914 inhabitants, Thrombotic or haemorrhagic episodes were recorded and the same events that should have occurred, according to their pathologies, were calculated. Two hundred and ninety-nine thromboembolic complications occurred which led to 129 hospital admissions and there were 11 deaths. Serious haemorrhagic complications resulted in IBI hospital admissions and caused 20 deaths. The costs of OAT in the population attended (medication and their clinical/analytical monitoring) were estimated at €2,749,813,The healthcare costs (calculated according to the DRG of the pathologies) of the clinical complications which occurred were estimated at €1,068,259. The complications avoided were calculated at. more than 100 deaths, 1,044 cerebrovascular accidents and 583 thrombotic recurrences with estimated costs, in the acute intrahospital phase only, of greater than €5,000,000.",Revista de Administracion Sanitaria,2008-07-01,,0.40176766960069127
Hospital-Location Classification and Analysis in the Healthcare Cold Chain using K-means Algorithm,"Logistics and supply chain management for the healthcare sector is concerned with activities related to production, storage, and distribution. Relevant stakeholders are from various parties, which are inclusive of material supplier, manufacturer, distribution center, regional hospital, provincial hospital, as well as patients. In this research, we analyze the locational data of hospital using a case study of hospitals in Thailand to evaluate potential locational center acting as a central storage and distribution centers. Initially, we apply the K-means algorithm to classify hospital locational data into a specified number of classification groups. Then, the location model based on rectilinear distance is formulated and minimized to evaluate potential locations for the central storage and distribution centers. Our initial study provides promising result and is subject to the on-going development of the healthcare cold chain model in our research study.","8th International Conference on Engineering and Emerging Technologies, ICEET 2022",2022-01-01,10.1109/ICEET56468.2022.10007286,0.3988177243257229
Performance evaluation of FIWARE: A cloud-based IoT platform for smart cities,"As the Internet of Things (IoT) becomes a reality, millions of devices will be connected to IoT platforms in smart cities. These devices will cater to several areas within a smart city such as healthcare, logistics, and transportation. These devices are expected to generate significant amounts of data requests at high data rates, therefore, necessitating the performance benchmarking of IoT platforms to ascertain whether they can efficiently handle such devices. In this article, we present our results gathered from extensive performance evaluation of the cloud-based IoT platform, FIWARE. In particular, to study FIWARE's performance, we developed a testbed and generated CoAP and MQTT data to emulate large-scale IoT deployments, crucial for future smart cities. We performed extensive tests and studied FIWARE's performance regarding vertical and horizontal scalability. We present bottlenecks and limitations regarding FIWARE components and their cloud deployment. Finally, we discuss cost-efficient FIWARE deployment strategies that can be extremely beneficial to stakeholders aiming to deploy FIWARE as an IoT platform for smart cities.",Journal of Parallel and Distributed Computing,2019-10-01,10.1016/j.jpdc.2018.12.010,0.39323633360612265
Appraisal Study and analytics of Industrial 4.0 - A rebellion towards existing twins,"A paradigm shift in manufacturing and production procedures is represented by the fourth industrial revolution, or industry 4.0, which is fueled by the incorporation of digital technology, automation, and data-driven decision-making. This study addresses the potential and difficulties presented by Industry 4.0 and provides a thorough examination of its effects on a range of industries, including manufacturing, healthcare, logistics, and agriculture. The first section of the article describes the key technologies that underlie Industry 4.0, including the Internet of Things (IoT), artificial intelligence (AI), big data analytics, and advanced robots. It looks at how these technologies are converting conventional manufacturing processes into ""smart factories,""resulting in increased productivity, lower operating costs, and better-quality products. It also explores the cyber security concerns brought on by the increased connection in Industry 4.0 technologies and offers insights into mitigation techniques. This research study offers an outlook on probable developments and trends in Industry 4.0 with an eye toward the future. It talks about the rising significance of sustainability and how Industry 4.0 may support environmentally friendly practices by maximizing resource use and minimizing waste. Additionally, it investigates the potential for cross-industry cooperation and the development of new business models made possible by the Industrial Internet of Things (IIoT).","2024 IEEE International Students' Conference on Electrical, Electronics and Computer Science, SCEECS 2024",2024-01-01,10.1109/SCEECS61402.2024.10481861,0.38808574292662296
Enhancing COVID-19 vaccination and medication distribution routing strategies in rural regions of Morocco: A comparative metaheuristics analysis,"The optimization of the vaccination campaign and medication distribution in rural regions of Morocco conducted by the Ministry of Health can be significantly improved by employing metaheuristic algorithms in conjunction with a tour planning system. This research proposes the utilization of six metaheuristic algorithms: genetic algorithm, rat swarm optimization, whale optimization, spotted hyena optimizer, penguins search optimization, and particle swarm optimization, to determine the most efficient routes for equipped trucks carrying vaccines and medications. These algorithms consider critical field constraints, such as operating hours of vaccination centers, vaccine availability, and distances between centers while minimizing the overall journey duration. In addition, a comprehensive tour planning system is integrated into the optimization framework accounting for transportation costs such as fuel expenses and truck maintenance costs. By incorporating these factors, the Ministry of Health aims to achieve the maximum efficiency while minimizing the financial burden associated with the vaccination campaign in rural areas. The integration of metaheuristics and the tour planning system presents a robust and data-driven solution for the Ministry of Health to enhance the effectiveness of their vaccination and medication distribution campaigns in rural regions of Morocco. This approach not only minimizes costs but also improves overall efficiency by ensuring timely access to vaccines and medications for the rural population. The findings of this research contribute to the growing body of knowledge in the field of healthcare logistics optimization and provide valuable insights for policymakers and practitioners involved in similar campaigns worldwide.",Informatics in Medicine Unlocked,2024-01-01,10.1016/j.imu.2024.101467,0.37087008033671226
Inventory management in healthcare supply chain under uncertainty and emergency: A literature review,Pharmacy have important role in the success of healthcare system because of the cost invested in product and inventory storage. Minimize inventory costs and maximize the quality of healthcare service must be achieved in the healthcare industry. Hospitals as healthcare service providers have a significant role in the healthcare industry. Supply chain disruption such as a natural disaster can affect the inventory level and quality of health services at the hospital. This paper presents a literature review of logistic and inventory management in healthcare that are related to an emergency and uncertainty situation because of natural disasters. Some research opportunities in the field of healthcare logistic and inventory management in disaster situations will be discussed and may be addressed for future research.,Journal of Advanced Research in Dynamical and Control Systems,2019-01-01,,0.3703730964081051
Benchmarking healthcare logistics processes–a comparative case study of Danish and US hospitals,"Logistics processes in hospitals are vital in the provision of patient care. Improving healthcare logistics processes provides an opportunity for reduced healthcare costs and better support of clinical processes. Hospitals are faced with increasing healthcare costs around the world and improvement initiatives prevalent in manufacturing industries such as lean, business process reengineering and benchmarking have seen an increase in use in healthcare. This study investigates how logistics processes in a hospital can be benchmarked to improve process performance. A comparative case study of the bed logistics process and the pharmaceutical distribution process was conducted at a Danish and a US hospital. The case study results identified decision criteria for designing efficient and effective healthcare logistics processes. The most important decision criteria were related to quality, security of supply and employee engagement. Based on these decision criteria, performance indicators were developed to enable benchmarking of logistics processes in healthcare. The study contributes to the limited literature on healthcare logistics benchmarking. Furthermore, managers in healthcare logistics are provided with a list of decision parameters relevant for designing and benchmarking processes.",Total Quality Management and Business Excellence,2019-01-02,10.1080/14783363.2017.1299570,0.37014506810372466
Efficient estimation of a risk measure requiring two-stage simulation optimization,"This paper is concerned with the efficient estimation of the risk measure of a system where the estimation requires solving a two-stage simulation optimization problem. The first stage samples risk factors that specify a second stage simulation optimization problem. The second stage solves a simulation optimization problem and outputs the best performance of the system under the realized risk factors, which are then aggregated across all first stage samples to produce an estimate of the risk measure. Applications of such an estimation scheme arise frequently in important industries such as financial, healthcare, logistics, and manufacturing. Because a large number of first stage samples are typically needed, each of which requires solving a computationally expensive simulation optimization problem, the two-stage simulation optimization approach faces a major computational efficiency challenge. In response to this challenge, this paper proposes a sequential simulation budget allocation procedure that determines the allocation of simulation budget based on a score known as revised probability of sign change for each decision under each scenario. The consistency of the proposed procedure is proved and the computational efficiency gain of the proposed is demonstrated using both benchmark test functions and two test cases in the context of financial portfolio risk estimation and healthcare system resilience estimation.",European Journal of Operational Research,2023-03-16,10.1016/j.ejor.2022.06.028,0.3595539582460844
Red cell storage,"Blood component storage allows the donor and recipient to be separated in time and space. This separation converts transfusion from a desperate clinical act into a planned, orderly healthcare logistic activity with concomitant increases in both blood product availability and safety. However, storage has the potential to reduce the efficacy of transfused blood components by reducing their flow, functional capacity, and survival. Storage time also allows the accumulation of leaked potassium from red cells and the growth of contaminating bacteria. Many different aspects of the red cell storage lesion have been described, including changes in metabolism, shape, and rheology changes, loss of membrane carbohydrates, lipids and proteins, and alterations in secretion, oxygen delivery, and adhesion. What has been harder to show is that these known changes have significant clinical effects. Therefore, regulatory decisions about product storage have been conservative, and largely based on historic patterns of use. The increasing power of proteomics and metabolomics offers the potential of deeper understanding of blood function and storage and of better clinical products in the future. © 2009 Elsevier B.V. All rights reserved.",Journal of Proteomics,2010-01-03,10.1016/j.jprot.2009.11.005,0.35635853676546514
Potential impact of RFID-based tracing systems on the integrity of pharmaceutical products,"Radio Frequency Identification (RFID) is going to play a crucial role as auto-identification technology in a wide range of applications such as healthcare, logistics, supply chain management, ticketing, et cetera. The use of electromagnetic waves to identify, trace, and track people or goods allows solving many problems related to auto-identification devices based on optical reading (i.e. bar code). Currently, high interest is concentrated on the use of Radio Frequency (RF) solutions in healthcare and pharmaceutical supply chain, in order to improve drugs flow transparency and patients' safety. Unfortunately, there is a possibility that drug interaction with electromagnetic fields (EMFs) generated by RF devices, such as RFID readers, deteriorate the potency of bioactive compounds. This chapter proposes an experimental multidisciplinary approach to investigate potential alterations induced by EMFs on drug molecular structure and performance. To show the versatility of this approach, some experimental results obtained on two biological pharmaceuticals (peptide hormone-based) are discussed. © 2013, IGI Global.","Advanced RFID Systems, Security, and Applications",2012-12-01,10.4018/978-1-4666-2080-3.ch011,0.35263219121922257
An evaluation of the delivery of medicines using drones,"This study tests the impact of drone transportation on the quality of a medicine. Modelling the critical process parameters of drone flight, the effects of temperature and vibration on insulin were investigated using the pharmacopoeia methods. The medicine, Actrapid, (3.5 mg/mL of insulin), was flown by a quad-rotor drone. Insulin stored between −20 and 40◦C for 30 mins, and subjected to vibration (0–40 Hz, 25◦C, 30 mins) passed the pharmacopeia tests. Dynamic light scattering identified the active tetrameric and hexameric forms of insulin post testing. Vibration frequencies during drone flight were between 0.1 and 3.4 Hz. There was no evidence of visible insulin aggregates following the drone transportation. The differences in UV absorbance readings between flown Actrapid and controls were insignificant (p = 0.89). No adverse impact of drone transport on insulin was observed. This study provides supporting evidence that drone transportation of medicinal products containing insulin is feasible. The authors recommend that when considering the drone delivery of medicines five tests need to be applied. These tests must determine the safe flight time and range, the quality of the medicine post flight, the onboard conditions experienced by the medicine, the security of the drone supply chain and the effect of drone failure on both the medicine and the environment.",Drones,2019-09-01,10.3390/drones3030052,0.3489581034571338
