Title,Abstract,Journal,Publishing Date,DOI
Support of the logistics chain by small aircraft in times of emergency,"Healthcare logistics, which is primarily aimed at patient care, represents a number of activities in the area of supply chain management. Hospitals are a key link in the supply chain, where they are the end customer, the supply chain from the manufacturer through all bottlenecks. A complete description of the distribution of medical supplies can be summarized into an external and internal supply chain. The external circuit represents the supply of the necessary commodities and ends at the distribution point. The internal circuit continues to the nursing units of the hospital supply chain. Currently, two basic forms are used for the distribution of supplies to the level of nursing units, through the regions, or through the supply from the humanitarian warehouse. The acquisition, storage, and distribution processes depend on the material availability on the market and the level of the maintained stocks. Modern technologies enable continuous collection of requirements and are the basis of a proactive approach to the solution, which allows the use of all accessible air transport, military and civilian capabilities, according to the criteria of the user or end customer.","NTinAD 2020 - New Trends in Aviation Development 2020 - 15th International Scientific Conference, Proceedings",2020-09-17,10.1109/NTAD51447.2020.9379077
Insights before flights: How community perceptions can make or break medical drone deliveries,"Drones are increasingly used to transport health products, but life-saving interventions can be stalled if local community concerns and preferences are not assessed and addressed. In order to inform the introduction of drones in new contexts, this paper analyzed similarities and differences in community perceptions of medical delivery drones in Malawi, Mozambique, the Democratic Republic of the Congo (DRC) and the Dominican Republic (DR). Community perceptions were assessed using focus group discussions (FGDs) and key informant interviews (KIIs) conducted with stakeholders at the national level, at health facilities and in communities. Data were collected on respondents’ familiarity with drones, perceptions of benefits and risks of drones, advice on drone operations and recommendations on sharing information with the community. The comparative analysis found similar perceptions around the potential benefits of using drones, as well as important differences in the perceived risks of flying drones and culturally appropriate communication mechanisms based on the local context. Because community perceptions are heavily influenced by culture and local experiences, a similar assessment should be conducted before introducing drone activities in new areas and two-way feedback channels should be established once drone operations are established in an area. The extent to which a community understands and supports the use of drones to transport health products will ultimately play a critical role in the success or failure of the drone’s ability to bring life-saving products to those who need them.",Drones,2020-09-01,10.3390/drones4030051
"Healthcare commodities for emergencies in Africa: review of logistics models, suggested model and research agenda","Purpose: Enormous numbers of people suffer from the effects of disasters and humanitarian crises in Africa, including medical and healthcare emergencies. International response to the 2014–2016 Ebola pandemic in West Africa and COVID 19 pandemic vividly demonstrates the need for efficient and effective logistics and supply chain systems in bringing succor to impacted and vulnerable communities. This paper critically reviews the academic literature on logistics models for sourcing, delivery and distribution of medical and healthcare products for humanitarian emergencies in Africa from 1990 to 2018. The paper suggests areas for further research and proposes an effective logistics model useful for international and national humanitarian organizations as well as public health authorities in Africa and developing areas. Design/methodology/approach: The viewpoint paper draws upon a structured comprehensive and critical review of the academic literature on logistics and supply chain management and a qualitative analysis of the literature in 13 leading academic databases covering over 5,550 articles. Findings: The paper finds significant gaps in the body of logistics and supply chain management research on practical deployable logistics models for sourcing, delivery, and distribution of medical and healthcare products for humanitarian emergencies. The paper suggests a model worthy of consideration by humanitarian and disaster response stakeholders as well as public health authorities in developing countries. Research limitations/implications: This is a critical literature review paper based on a comprehensive literature research and analysis for the period from 1990 to 2018 from which a viewpoint is formed. Social implications: This paper advocates for further research on appropriate models of logistics for the sourcing, delivery and distribution of medical and healthcare products to enhance the basic human rights and dignity of vulnerable people in developing countries. Originality/value: The paper contributes directly to policy on logistics, humanitarian aid, disaster management, public health and health security policy in the developing world including Africa.",Journal of Humanitarian Logistics and Supply Chain Management,2020-08-17,10.1108/JHLSCM-09-2019-0064
A fuzzy multi-criteria decision analysis approach for risk evaluation in healthcare logistics outsourcing: Case of Morocco,"Public–private partnerships in emerging countries are gradually considered a tool for growth development. One particular public–private partnership is that of outsourcing logistics in the healthcare sector. These partnerships provide several benefits for both private and public sectors but are generally associated with numerous risks that must be evaluated and subsequently managed. The aim in this paper is to develop a risk evaluation approach to rank risks when decision makers’ judgment is taken into consideration and where traditional risk evaluation techniques become less applicable. The proposed approach makes use of fuzzy multi-criteria decision analysis methods since they are efficient techniques to rank alternatives based on selected evaluation criteria and can accommodate human judgment and preferences. The approach treats predetermined risks like alternatives, and evaluation criteria are represented by areas of impact of the risks. To validate the approach, we applied it to a real case of logistics outsourcing to private service providers in a Moroccan public pharmaceutical supply chain. The ranking results obtained show that the two methods lead to some differences in ranking but are highly correlated. The obtained results support healthcare policy makers in setting priorities to effectively deploy preventive and mitigation efforts.",Health Services Management Research,2020-08-01,10.1177/0951484820901668
Simulation optimization for the inventory management of healthcare supplies,"This article covers the inventory management of healthcare supplies problem. Based on the mathematical programming model set out by [1], a causal model and a flow chart were developed to outline the simulation model, which was to be later applied to a highly specialized medical institution that performs high-risk heart surgery, such as catheterizations and angioplasties. With this simulation model, a purchases plan with 21 healthcare supplies was obtained that contemplates all the problem’s restrictions: purchasing policy (safety stock, available budget); the warehouse’s physical reality (warehouse capacity); characteristics of supplies (useful life, service level); and suppliers (price, capacity and size of lots or rounding value). Different indicators were also considered, such as service levels, costs of purchases, stockouts costs and inventory maintenance costs. The results obtained with the simulation model came very close to the mathematical programming results, but the computing times were considerably shorter.",International Journal of Simulation Modelling,2020-06-01,10.2507/IJSIMM19-2-514
A Pattern Adherence Analysis to a Blockchain Web Application,"Blockchain is an emerging technology that is attracting a lot of attention from both academia and industry. Blockchain when used as a decentralized technology could be utilized in various useful applications, such as healthcare, logistics, supply chain management, education, among others. However, there is the integration factor between technologies and environments, which have their own characteristics and challenges. A pattern is a solution with reusable fetures for a problem that commonly occurs in a given context during software design phases. Usually, when adopting a design pattern, there are trade-offs among quality attributes. In this context, using patterns can promote a better use for blockchain in traditional application and system development, and disseminate best practices. The aim of this paper is to analyze a traditional web application that uses blockchain features from the viewpoint of some patterns, specifically patterns that describe the blockchain integration with the outside world. As a result, we found that applying blockchain patterns can benefit systems, especially those that require integration with other systems, such as legacy or existing.","Proceedings - 2020 IEEE International Conference on Software Architecture Companion, ICSA-C 2020",2020-03-01,10.1109/ICSA-C50368.2020.00028
Association of open communication and the emotional and behavioural impact of medical error on patients and families: state-wide cross-sectional survey,"Background How openly healthcare providers communicate after a medical error may influence long-term impacts. We sought to understand whether greater open communication is associated with fewer persisting emotional impacts, healthcare avoidance and loss of trust. Methods Cross-sectional 2018 recontact survey assessing experience with medical error in a 2017 random digit dial survey of Massachusetts residents. Two hundred and fifty-three respondents self-reported medical error. Respondents were similar to non-respondents in sociodemographics confirming minimal response bias. Time since error was categorised as <1, 1–2 or 3–6 years before interview. Open communication was measured with six questions assessing different communication elements. Persistent impacts included emotional (eg, sadness, anger), healthcare avoidance (specific providers or all medical care) and loss of trust in healthcare. Logistic regressions examined the association between open communication and long-term impacts. Results Of respondents self-reporting a medical error 3–6 years ago, 51% reported at least one current emotional impact; 57% reported avoiding doctor/facilities involved in error; 67% reported loss of trust. Open communication varied: 34% reported no communication and 24% reported ≥5 elements. Controlling for error severity, respondents reporting the most open communication had significantly lower odds of persisting sadness (OR=0.17, 95% CI 0.05 to 0.60, p=0.006), depression (OR=0.16, 95% CI 0.03 to 0.77, p=0.022) or feeling abandoned/betrayed (OR=0.10, 95% CI 0.02 to 0.48, p=0.004) compared with respondents reporting no communication. Open communication significantly predicted less doctor/facility avoidance, but was not associated with medical care avoidance or healthcare trust. Conclusions Negative emotional impacts from medical error can persist for years. Open communication is associated with reduced emotional impacts and decreased avoidance of doctors/facilities involved in the error. Communication and resolution programmes could facilitate transparent conversations and reduce some of the negative impacts of medical error.",BMJ Quality and Safety,2020-01-20,10.1136/bmjqs-2019-010367
How to use lean manufacturing for improving a Healthcare logistics performance,"Most companies in the world are focused on their global performance for being competitive on the market. Lean manufacturing is one of the main methodologies used by them for increasing their supply chain and logistics performance. Indeed, Logistics performance improvement implies the definition of KPIs (Key Performance Indicators) for measuring at each transformation level, the evolution of the logistics system. Thus, Industry 4.0 and logistics 4.0 concepts are defined for implementing new technologies, tools and organizations in companies in order to define their future. A new framework, based on lean manufacturing and DMAIC methodologies, with sustainability as its kernel has been developed in Icam, A Higher education school, for SMEs. In addition, European population is growing older day by day and they are regularly visiting hospitals. In this context, the treatment of patients in good conditions (quality, cost and lead time) is necessary as much as the hospital global performance. In this frame, a project is ongoing between FEI, a Brazilian University and Icam for defining and implementing Healthcare Logistics 4.0 (including lean manufacturing). This paper presents concepts, methods and tools of healthcare logistics 4.0 for improving a hospital performance. Examples on medicines tracking, medicine and food dispatching will be given as result and detailed for illustrating concepts presented.",Procedia Manufacturing,2020-01-01,10.1016/j.promfg.2020.10.231
"Enterprise IoT Modeling: Supervised, Unsupervised, and Reinforcement Learning","The Internet of Things (IoT)—the internetworking of physical devices—has been a significant advancement in recent decades and has been the catalyst for several other innovations. New Industrial Internet of Things (IIoT) platforms aim to solve the most complex challenge of manufacturers: consolidating all production systems into a single data model. They are used in smart cities, security and emergencies, environmental applications, energy, healthcare, logistics, industrial control, home automation, agriculture, and animal farming. These objects/devices/appliances can generate, collect, and exchange data without human-to-human or human-to-computer interactions. The IIoT is creating an explosion in structured and unstructured data from a growing army of sensors capable of registering locations, voices, faces, audio, temperature, sentiment, health, and others. Billions of IoT devices are interconnected and a huge volume of data is generated. Every device features automation to assist people in the planning, management, and decision-making of their day-to-day activities. Machine learning (ML) techniques are applied to further enhance the intelligence and capabilities of an application. Many researchers are interested in producing advanced IoT technology, combining ML and IoT Techniques. Through ML, IIoT devices learn to perform tasks such as predication, pattern recognition, classification, and clustering. To provide for a learning process, IoT devices are trained using various algorithms in ML and statistical models to analyze sample data. The various fields of data sets (structured and unstructured data) are characterized by measuring functional parameters. Later, ML algorithms are applied to the data set to find features, provide useful output, identify patterns or make decisions based on the data set, draw inferences from real-time data streams, make their results available to analysts, and embed their results directly in business processes. In ML, the real-time problem is classified by classification, clustering, regression models, and association rules. Based on the learning style, ML algorithms can be categorized as supervised, unsupervised, semi-supervised, and reinforcement learning.",EAI/Springer Innovations in Communication and Computing,2020-01-01,10.1007/978-3-030-44407-5_3
Healthcare logistics &amp; supply chain management in health industry of Indonesia based on the telemedicine,"The essential mission of logistics and supply chain management is to efficiently plan, organize, and coordinate the movement of goods from a point of origin to a point of consumption. Analyzing and aligning supply chain goals with a patient-first approach enables healthcare organizations to reduce costs while improving patient outcomes. With Patient Direct, a care delivery solution from HRS, this paper provides patients with the telehealth equipment they need when they need it by telemedicine. Telemedicine which is used interchangeably with the term telehealth is the remote delivery of healthcare to patients through information and communication technology, including communication between two or more health professionals who are not in the same location. Thus, it needs secure transmission of medical data through text, sound, image, or video. This system can be a tele-education, tele-monitoring, tele-consultation, or tele-intervention. Telemedicine has several benefits, both for health professionals and medical institution as well as for the patients, especially for the development of healthcare delivery in remote area and also to make interaction between healthcare professional faster. However, telemedicine still has lack of regulation in Indonesia. There is still no regulation about license for the health professional and safety of medical data. Ethical problems in telemedicine are also still an issue, especially about patient's confidentiality, and also it can weaken doctor-patients relationship. According code of ethics, a doctor must examine the patients first before making a diagnosis and treatment, which cannot be done with telemedicine. The lack of regulation and ethical consideration make telemedicine in Indonesia still has some problems and need a challenge for improvement.",International Journal of Supply Chain Management,2020-01-01,
Evaluating Replenishment Systems for Disposable Supplies at the Operating Theater: A Simulation Case Study,"Ensuring cost containment while providing high quality patient care is of paramount concern to hospitals. The operating theater in particular is a major cost driver for any hospital, and is among the most critical resources in terms of both capacity and patient care. Effective inventory and distribution systems are a prerequisite for realizing efficiency improvements in the internal operating theater supply chain. In this work, discrete-event simulation is used to model part of the internal distribution process in the operating theater at a Belgian Hospital and to identify improvements by focusing on the replenishment process. A logistics performance measurement framework based on Analytic Network Process (ANP), as a popular Multi-Criteria Decision-Making (MCDM) technique, is adopted to assess three replenishment scenarios. The best performing scenario is selected using the Internal Logistics Efficiency Performance (ILEP) index as an evaluation basis. This research indicates that industrial engineering techniques, such as simulation and MCDM, which are successfully applied in industrial sectors, can also be adopted to realize efficiency opportunities in healthcare logistics.",Springer Proceedings in Mathematics and Statistics,2020-01-01,10.1007/978-3-030-39694-7_12
"Correction to: A systematic literature review of simulation models for non-technical skill training in healthcare logistics (Advances in Simulation, (2018), 3, 1, (15), 10.1186/s41077-018-0072-7)","The original article [1] contains a previous iteration of author, Chen Zhang’s name. This should instead be displayed as Cevin Zhang as shown in this Correction article.",Advances in Simulation,2019-12-01,10.1186/s41077-019-0094-9
Performance indicator selection for operating room supply chains: An application of ANP,"Manufacturing and maintenance processes significantly benefit from effective and integrated Supply Chain Management (SCM). Recently, hospitals start to recognize the importance of these logistics initiatives to improve their operational performance while also maintaining high quality of patient care. Patient care processes are supported by a range of supply chain activities including inventory management and distribution of medical supplies to point-of-care locations. At the operating room for instance, the logistics staff's goal is managing materials and information flows to have the requested materials at the right operating room at the right time, in the most efficient way. However, poor inventory management, lack of standardization and lack of coordination between departments complicate healthcare logistics processes, and hence result in many waste. Opportunities for efficiency gains in these logistics processes can be identified by measuring the performance of the internal supply chain. This paper presents a rigorously defined logistics performance measurement framework to evaluate the efficiency of logistics processes in operating rooms. The Analytic Network Process (ANP) is utilized as a popular Multi-Criteria Decision-Making (MCDM) technique to provide effective decision-support models. The proposed ANP-based framework is a first step towards measuring the performance of operating room supply chain processes by selecting and prioritizing logistics objectives and associated Key Performance Indicators (KPIs). Further research is required to validate the ANP framework by including multiple stakeholders’ preferences, as they may have conflicting views on performance definitions. The final goal of the framework is to support hospital logistics managers in making transparent and informed decisions to improve inventory and distribution policies in the operating room while considering all stakeholders’ preferences.",Operations Research for Health Care,2019-12-01,10.1016/j.orhc.2019.100229
Sustainable supply chain management practices and sustainable performance in hospitals: A systematic review and integrative framework,"Hospital supply chains are responsible for several economic inefficiencies, negative environmental impacts, and social concerns. However, a lack of research on sustainable supply chain management specific to this sector is identified. Existing studies do not analyze supply chain management practices in an integrated and detailed manner, and do not consider all sustainable performance dimensions. To address these gaps, this paper presents a systematic literature review and develops a framework for identifying the supply chain management practices that may contribute to sustainable performance in hospitals. The proposed framework is composed of 12 categories of management practices, which include strategic management and leadership, supplier management, purchasing, warehousing and inventory, transportation and distribution, information and technology, energy, water, food, hospital design, waste, and customer relationship management. On the other side, performance categories include economic, environmental, and social factors. Moreover, illustrative effects of practices on performance are discussed. The novelty of this document lies in its focus on hospital settings, as well as on its comprehensiveness regarding the operationalization of practices and performance dimensions. In addition, a future research agenda is provided, which emphasizes the need for improved research generalizability, empirical validation, integrative addressing, and deeper analysis of relationships between practices and performance.",Sustainability (Switzerland),2019-11-01,10.3390/su11215949
Towards Semantic Sensitive Feature Profiling of IoT Devices,"Billions of Internet of Things (IoT) devices are being adopted in our daily life as personal wearables, home automation agents, medical appliances, etc. Many domains of their use nowadays rely on the privacy and security of these devices - critical infrastructure, healthcare, logistics, manufacturing. In this paper, we aim to establish a standardized framework, which does not require access to physical devices yet allows to profile security and privacy-sensitive functionality in both existing and upcoming IoT products, based on semantic analysis of discovered technical information. We develop a software tool for automatic feature profiling of IoT devices and present case studies on two real-world IoT devices - a fitness tracker, Garmin Forerunner 230, and a voice-controlled home assistant, Amazon Echo Dot second generation and further provide comparative results analysis.",IEEE Internet of Things Journal,2019-10-01,10.1109/JIOT.2019.2903739
An evaluation of the delivery of medicines using drones,"This study tests the impact of drone transportation on the quality of a medicine. Modelling the critical process parameters of drone flight, the effects of temperature and vibration on insulin were investigated using the pharmacopoeia methods. The medicine, Actrapid, (3.5 mg/mL of insulin), was flown by a quad-rotor drone. Insulin stored between −20 and 40◦C for 30 mins, and subjected to vibration (0–40 Hz, 25◦C, 30 mins) passed the pharmacopeia tests. Dynamic light scattering identified the active tetrameric and hexameric forms of insulin post testing. Vibration frequencies during drone flight were between 0.1 and 3.4 Hz. There was no evidence of visible insulin aggregates following the drone transportation. The differences in UV absorbance readings between flown Actrapid and controls were insignificant (p = 0.89). No adverse impact of drone transport on insulin was observed. This study provides supporting evidence that drone transportation of medicinal products containing insulin is feasible. The authors recommend that when considering the drone delivery of medicines five tests need to be applied. These tests must determine the safe flight time and range, the quality of the medicine post flight, the onboard conditions experienced by the medicine, the security of the drone supply chain and the effect of drone failure on both the medicine and the environment.",Drones,2019-09-01,10.3390/drones3030052
Emerging Frontiers in Industrial and Systems Engineering: Success Through Collaboration,"Success is driven through collaboration. The field of Industrial and Systems Engineering has evolved as a major engineering field with interdisciplinary strength drawn from effective utilization, process improvement, optimization, design, and management of complex systems. It is a broad discipline that is important to nearly every attempt to solve problems facing the needs of society and the welfare of humanity. In order to carry this forward, successful collaborations are needed between industry, government, and academia. This book brings together an international group of distinguished practitioners and academics in manufacturing, healthcare, logistics, and energy sectors to examine what enables successful collaborations. The book is divided into two key parts: 1) partnerships, frameworks, and leadership; and 2) engineering applications and case studies. Part I highlights some of the ways partnerships emerge between those seeking to innovate and educate in industrial and systems engineering, some useful frameworks and methodologies, as well as some of the ideas and practices that undergird leadership in the profession. Part II provides case studies and applications to illustrate the power of the partnerships between academia and practice in industrial and systems engineering.",Emerging Frontiers in Industrial and Systems Engineering: Success Through Collaboration,2019-06-13,10.1201/9780429488030
Investigating automation and AGV in healthcare logistics: a case study based approach,"In France, as in numerous countries, healthcare organisations are undergoing major transformations, leading them to rationalise their resources and optimize their flows. In this context, automation can play an important role, enabling value creation and patient satisfaction. Previous research has mainly focused on the technological aspects of automation, neglecting the organisational issues related to the implementation of this innovation and particularly the management of the hospital staff, including logistics personnel, involved within the organisational change process. The aim of this article is, at least, to partly address this gap within the literature, and to propose, based on an exploratory case study, an analysis grid of the challenges and changes in terms of logistics flows (pharmaceutical, waste, laundry, etc.) that impact staff involved in managing these flows in a hospital context. Our results highlight the importance and necessity of anticipating the building and deployment of new knowledge and skills in order to efficiently and effectively design and manage automated logistics flows with AGV system.",International Journal of Logistics Research and Applications,2019-05-04,10.1080/13675567.2018.1518414
Reliable internet of things network architecture based on high altitude platforms,"Internet of Things (IoT) has become a hot topic of technical, social and economic significance in recent times. Projections on its impact are highly impressive, where over 100 billion of devices have been projected to be IoT connected with a global economic impact of more than $11 trillion by 2025. In this paper, we propose a reliable IoT network architecture based on high altitude platforms as an alternative standalone network that is well-positioned to provide seamless connectivity and coverage in remote areas. Potential applications of the proposed IoT network architecture are demonstrated in smart cities, healthcare, logistics, finance, agriculture and construction.","2019 Conference on Information Communications Technology and Society, ICTAS 2019",2019-04-30,10.1109/ICTAS.2019.8703519
Factors impacting technology adoption in hospital bed logistics,"Purpose: The purpose of this paper is to refine and expand technology adoption theory for a healthcare logistics setting by combining the technology–organization–environment framework with a business process management (BPM) perspective. The paper identifies and ranks factors impacting the decision to implement instances of technologies in healthcare logistics processes. Design/methodology/approach: A multiple case study is carried out at five Danish hospitals to investigate the bed logistics process. A combined technology adoption and BPM lens is applied to gain an understanding of the reasoning behind technology adoption. Findings: A set of 17 factors impacting the adoption of technologies within healthcare logistics was identified. The impact factors perceived as most important to the adoption of technologies in healthcare logistics processes relate to quality, employee work conditions and employee engagement. Research limitations/implications: This paper seeks to understand how managers can use knowledge about impact factors to improve processes through technology adoption. The findings of this study provide insights about the factors impacting the adoption of technologies in healthcare logistics processes. Differences in perceived importance of factors enable ranking of impact factors, and prioritization of changes to be implemented. The study is limited to five hospitals, but is expected to be representative of public hospitals in developed countries and applicable to similar processes. Originality/value: The study contributes to the empirical research within the field of BPM and technology adoption in healthcare. Furthermore, the findings of this study enable managers to make an informed decision about technology adoption within a healthcare logistics setting.",International Journal of Logistics Management,2019-02-12,10.1108/IJLM-02-2017-0043
Service modularity in managing healthcare logistics,"Purpose: The purpose of this paper is to examine how modularity is used for enabling value creation in managing healthcare logistics services. Design/methodology/approach: Material logistics of four different kinds of hospitals is examined through a qualitative case study. The theoretical framework builds on the literature on healthcare logistics, service modularity and value creation. Findings: The case hospitals have developed their material logistics independently from others when looking at the modularity of offerings, processes and organisations. Services, such as assortment management, shelving and developing an information platform, have been performed in-house partly by the care personnel, but steps towards modularised and standardised solutions are now being taken in the case hospitals, including ideas about outsourcing some of the services. Research limitations/implications: This paper proposes seven modularity components for healthcare logistics management: segmentation, categorisation and unitisation of offerings, differentiation and decoupling of processes, and centralisation and specialisation of organisations. Thus, this study clarifies the three-dimensional concept of modularity as a cognitive frame for managing logistics services with heterogeneous customer needs in a rapidly changing healthcare environment. Practical implications: Modularity offers a tool for developing logistics services inside the hospital and increases possibilities to consider also external logistics service providers. Social implications: Managing healthcare logistics services through modularity has potential social implications in developing healthcare processes and changing the usage of health services. On a wider scale, modularity is helping healthcare systems reaching their goals in terms of service quality and cost. Originality/value: This paper shows the context-specific antecedents of service modularity and the usage of modular thinking in managing healthcare logistics.",International Journal of Logistics Management,2019-02-12,10.1108/IJLM-12-2017-0338
Managing healthcare logistics,,Health Service Marketing Management in Africa,2019-01-01,
Methods and concepts for elaborating a decision aided tool for optimizing healthcare medicines dispatching flows,"Globalization and new technologies are causes of the development of industry 4.0 concepts. Nowadays, Industry is becoming increasingly technological, machines are reaching spaces previously destined in factories to humans. Indeed, industry 4.0 concepts based on scientific, technological, and organizational concepts & tools (Internet of thing, RFID, Cobots, decision aided tools) and including sustainability could be used in different activity sectors. Healthcare sector is being transformed by new technologies and complex problems of this sector are solved by insisting on new technological parameters. FEI and Icam engineering schools are collaborating on healthcare logistics & transport area. The idea is to use the previous approach being elaborated for industrial companies to improve healthcare logistics and transport domain (Healthcare logistics 4.0). This paper presents concepts and tools (healthcare logistics 4.0) for solving real healthcare logistics problems. The approach elaborated is hybrid (combination of experimentation for acquiring real data and design for elaborating concepts and methods required for developing an adapted problem-solving tool). The decision aided tool is elaborated by using formalisms of artificial intelligence (such as expert systems, machine learning, multi-agent systems) in order to optimize medicine dispatching flows in a hospital. After describing healthcare logistics dispatching problems, a literature review will be presented for choosing concepts and formalisms that could be for developing the new decisional tool. Then, an example will be given for illustrating concepts elaborated.",Procedia Manufacturing,2019-01-01,10.1016/j.promfg.2020.01.028
Using lean manufacturing and machine learning for improving medicines procurement and dispatching in a hospital,"Industry 4.0 concepts are defined around the use of new technologies for improving industrial companies according to scientific, technological and organizational aspects. Enterprise complex problems could be solved in this frame. Many methods and concepts presented in the literature are focused on these aspects. A new method is being developed in Icam Paris-Sénart around the idea that sustainability must be the kernel of “industry of the future”. Indeed, the framework proposed is a combination of the previous aspects with environmental, social and societal aspects. The actual situation of the planet is an encouragement to make all future transformations with sustainability as kernel. These concepts could be imported in healthcare logistics and transport area for solving specific problems of this domain. Icam (French Engineer school) and FEI University are collaborating for proposing to healthcare hospitals a new framework (healthcare logistics 4.0) for solving complex problems of this domain. This paper is focusing on how to improve medicines procurement and dispatching in a hospital. Indeed, the use of Artificial Intelligence in healthcare sector is growing up. Data treated and analyzed could give important insights for solving problems and improving the existing organization. As machine learning is already exploited in many production management problems (forecasting, storage, production, etc.), the idea is to use it for developing an aided tool in addition to a lean manufacturing classical approach. After presenting the real problem of medicines procurement and dispatching detected in healthcare hospitals, concepts of lean manufacturing and machine learning will be exposed. Then, the methodology proposed for solving the problem will be shown. An illustration will be given for validating concepts presented. Finally, the link with the global “Healthcare logistics 4.0” framework will be described.",Procedia Manufacturing,2019-01-01,10.1016/j.promfg.2020.01.189
Develop the healthcare logistics service with kano model,"With the advancement of information and communication technologies in the healthcare industry and the strong growth in the sales of temperature sensitive healthcare products, the demand for cold chain logistics service has increased greatly in recent years. Therefore, developing an effective logistics service model for cold chain logistics is essential to help enterprises improve logistics quality and reduce cost. This study aims at applying the five dimensions of service quality (SERVQUAL) model to construct the service elements that customers are concerned about, and then applied the Kano model to categorize the service elements. For analyzing customers’ needs, primary data were collected from a survey administered to respondents who have used a logistics service for healthcare products. Through the convenient sampling, a total of 101 effective paper-based survey questionnaires were received for analysis. From the classification results, 2 service elements are classified as attractive elements, 8 service elements are classified as must-be elements, 15 services elements are classified as one-dimensional elements, 1 service elements is classified as an indifferent element, and no service elements are classified as reverse element in this study. Specifically, this study identified the service elements that need to be modified in the future pursuit of a more innovative service model, to develop a new cold chain logistics service for healthcare that better satisfies customers and creates and maintains a competitive advantage. Practitioners and researchers in the field of cold chain logistics may refer to this study’s findings of customers’ needs and classified service elements with the Kano model to assist in developing new logistics service model.",Journal of Quality,2019-01-01,10.6220/joq.201902_26(1).0001
Six Sigma Application in Healthcare Logistics: A Framework and A Case Study,"Six Sigma is used heavily in various industrial sectors, yet no noticeable applications are seen in healthcare logistics. This paper reveals the special case of healthcare logistics where cost reduction is not the only factor considered in project selection; performance and criticality of each item in the logistics system are of high importance as well. This paper provides a proposed framework to apply Six Sigma in the area of healthcare logistics. It also presents a case study implementing the proposed framework at a Jordanian hospital. In the case study, the paper reveals how the modifications of the define phase to take into consideration the criticality, cost, and performance of items make typical Six Sigma methodology very beneficial for healthcare logistics. In addition, it shows how the Six Sigma project selection can be done to deal effectively with healthcare logistics issues. This paper paves the road for research to elaborate on ways to use Six Sigma in the area of improving healthcare logistics.",Journal of Healthcare Engineering,2019-01-01,10.1155/2019/9691568
Measuring the logistics performance of internal hospital supply chains – A literature study,"The patient care processes in hospitals are supported by a range of operational activities including inventory management and distribution of supplies to point-of-care locations. Hospitals carry large amounts and a great variety of items, and the issues of storing and distributing these items throughout the hospital supply chain are of great importance to providing high-quality patient service. Healthcare logistics encompasses the process of handling physical goods (e.g. pharmaceuticals, surgical medical products, medical equipment, sterile items, linen, food, etc.) and the associated information flows, from the reception of the goods within a hospital to their delivery at patient care locations. The medical supply costs constitute the second largest expenditure in hospitals, after personnel costs. A high-performing supply chain may realize improved outcomes (e.g. safe and quality patient service) and greater efficiency. Logistics managers need to identify opportunities to improve the logistics processes in order to lower costs and to improve patient care quality. However, in order to improve the logistics processes, you must understand how the healthcare supply chain is currently performing. Measuring the performance of the supply chain is fundamental to identify and address deficiencies in the logistics activities, and it serves as a good input for managerial decision-making. The purpose of this article is to present existing research on performance measurement at the internal hospital supply chain (e.g. inventory management, distribution activities), and more specifically in the operating theatre since it is among the most critical resources for a hospital. At the operating theatre, the requested items should be available at the right time at the right place, in the right condition, at the lowest cost possible. Furthermore, we will also discuss literature on multi-criteria decision-making techniques. It enables researchers to build a performance measurement framework and to prioritize between multiple performance indicators since a diverse group of stakeholders with conflicting interests is involved in the internal operating room supply chain.",Omega (United Kingdom),2019-01-01,10.1016/j.omega.2018.01.007
A systematic literature review of simulation models for non-technical skill training in healthcare logistics,"Background: Resource allocation in patient care relies heavily on individual judgements of healthcare professionals. Such professionals perform coordinating functions by managing the timing and execution of a multitude of care processes for multiple patients. Based on advances in simulation, new technologies that could be used for establishing realistic representations have been developed. These simulations can be used to facilitate understanding of various situations, coordination training and education in logistics, decision-making processes, and design aspects of the healthcare system. However, no study in the literature has synthesized the types of simulations models available for non-technical skills training and coordination of care. Methods: A systematic literature review, following the PRISMA guidelines, was performed to identify simulation models that could be used for training individuals in operative logistical coordination that occurs on a daily basis. This article reviewed papers of simulation in healthcare logistics presented in the Web of Science Core Collections, ACM digital library, and JSTOR databases. We conducted a screening process to gather relevant papers as the knowledge foundation of our literature study. The screening process involved a query-based identification of papers and an assessment of relevance and quality. Results: Two hundred ninety-four papers met the inclusion criteria. The review showed that different types of simulation models can be used for constructing scenarios for addressing different types of problems, primarily for training and education sessions. The papers identified were classified according to their utilized paradigm and focus areas. (1) Discrete-event simulation in single-category and single-unit scenarios formed the most dominant approach to developing healthcare simulations and dominated all other categories by a large margin. (2) As we approached a systems perspective (cross-departmental and cross-institutional), discrete-event simulation became less popular and is complemented by system dynamics or hybrid modeling. (3) Agent-based simulations and participatory simulations have increased in absolute terms, but the share of these modeling techniques among all simulations in this field remains low. Conclusions: An extensive study analyzing the literature on simulation in healthcare logistics indicates a growth in the number of examples demonstrating how simulation can be used in healthcare settings. Results show that the majority of studies create situations in which non-technical skills of managers, coordinators, and decision makers can be trained. However, more system-level and complex system-based approaches are limited and use methods other than discrete-event simulation.",Advances in Simulation,2018-12-01,10.1186/s41077-018-0072-7
